time_s,mass_g,thrust_n
21.4227032661438,87.04899999999999,0.8536590758499999
21.504734992980957,87.695,0.8599941717499999
21.585529804229736,88.71,0.8699479215
21.66826033592224,89.494,0.8776363351
21.75243639945984,90.463,0.8871389789499999
21.84379005432129,91.06299999999999,0.8930229689499999
21.91868543624878,91.985,0.90206470025
21.998979330062866,95.999,0.94142859335
22.084030151367188,113.205,1.11016181325
22.16460418701172,150.756,1.4784113274
22.248929023742676,213.678,2.0954653587
22.32998561859131,304.28000000000003,2.9839674620000003
22.41273307800293,423.897,4.15700951505
22.497458934783936,561.644,5.5078461326
22.58008861541748,709.401,6.956847316649999
22.665640830993652,862.8789999999999,8.46195234535
22.743698120117188,1015.434,9.9580058361
22.827577829360962,1164.8519999999999,11.423295865799998
22.917641401290894,1300.846,12.756941425900001
22.993613243103027,1411.514,13.842223768099998
23.07442808151245,1484.493,14.557903278449999
23.158104419708252,1528.732,14.9917396678
23.24848246574402,1544.97,15.150980050500001
23.326080560684204,1544.97,15.150980050500001
23.40522861480713,1524.903,14.95419000495
23.487930297851562,1446.527,14.18558400455
23.580517292022705,1296.417,12.713507773049999
23.66031241416931,1100.084,10.7881387586
23.735859632492065,886.959,8.69809647735
23.821014165878296,671.02,6.580458283
23.91084337234497,466.107,4.57094821155
23.986801147460938,302.988,2.9712972702
24.06674885749817,180.92600000000002,1.7742779579
24.14937949180603,116.89599999999999,1.1463581583999998
24.241541385650635,106.51599999999999,1.0445651314
24.319656372070312,106.51599999999999,1.0445651314
24.397769689559937,106.65499999999999,1.0459282557499998
24.480186700820923,106.65499999999999,1.0459282557499998
24.564587593078613,106.747,1.04683046755
24.646312475204468,106.378,1.0432118137
24.728355407714844,105.963,1.03914205395
24.810999631881714,105.13199999999999,1.0309927278
24.896995782852173,103.887,1.01878344855
24.976462602615356,102.68799999999999,1.0070252752
25.062394857406616,100.93499999999999,0.9898342177499999
25.1419517993927,99.18199999999999,0.9726431602999999
25.224520683288574,97.79799999999999,0.9590707566999999
25.310920000076294,96.598,0.9473027767
25.390735387802124,95.67599999999999,0.9382610453999999
25.472450733184814,94.845,0.93011171925
25.555136680603027,93.92299999999999,0.9210699879499998
25.647926330566406,93.369,0.91563710385
25.724234580993652,92.862,0.9106651322999999
25.80328631401062,92.862,0.9106651322999999
25.88594937324524,93.0,0.91201845
25.97464680671692,93.55399999999999,0.9174513340999999
26.0528507232666,94.06099999999999,0.92242330565
26.13410186767578,94.984,0.9314748436
26.21695876121521,96.41399999999999,0.9454983530999999
26.3048038482666,107.16199999999999,1.0509002272999999
26.386366844177246,137.424,1.3476690696
26.46504807472229,203.622,1.9968496863000003
26.547787189483643,321.533,3.15316159445
26.631524324417114,490.04900000000004,4.80573902585
26.714037656784058,701.098,6.8754227017
26.79585838317871,944.53,9.2626751245
26.87876272201538,1201.48,11.782493842000001
26.965567588806152,1458.29,14.3009396285
27.04427409172058,1712.426,16.7931624329
27.13238263130188,1951.245,19.13517677925
27.209619522094727,2175.0260000000003,21.329718722900004
27.292248487472534,2399.8680000000004,23.534665522200005
27.377346754074097,2636.4280000000003,25.854526646200004
27.459049463272095,2897.8050000000003,28.417759403250002
27.54719376564026,3153.924,30.9294287946
27.623194694519043,3394.266,33.2863786689
27.70795488357544,3601.163,35.315345133950004
27.797757625579834,3738.264,36.6598466556
27.874775648117065,3839.5220000000004,37.65284842130001
27.95383620262146,3913.8390000000004,38.38164922935
28.036634922027588,3968.827,38.92089729955
28.12333083152771,4024.184,39.4637640236
28.206803560256958,4085.353,40.06362699745
28.284773111343384,4159.9929999999995,40.79559535345
28.367377996444702,4228.3589999999995,41.46603678734999
28.452948331832886,4270.799999999999,41.88224081999999
28.532798290252686,4288.883,42.05957447195
28.61812710762024,4288.883,42.05957447195
28.69826579093933,4267.432,41.849212022799996
28.78086233139038,4211.844,41.3040799626
28.864128351211548,4145.599999999999,40.654448239999994
28.946330070495605,4064.179,39.85598099035
29.030890226364136,3981.8810000000003,39.04891330865
29.11166000366211,3920.8500000000004,38.45040365250001
29.194323539733887,3887.3590000000004,38.12196913735001
29.281434774398804,3866.831,37.92065822615
29.362747192382812,3817.9320000000002,37.4411228478
29.44245481491089,3731.806,36.5965153099
29.52519416809082,3620.261,35.50263253565
29.610682487487793,3497.599,34.29972923335
29.701056480407715,3410.827,33.448786599550004
29.777561902999878,3379.32,33.139808478
29.855951070785522,3379.32,33.139808478
29.938654899597168,3401.6470000000004,33.35876155255001
30.023776292800903,3489.757,34.22282548405
30.10400938987732,3633.224,35.629756139600005
30.189262866973877,3806.077,37.324865012050005
